stars,unique_count,review_count,precision,recall,f1,default_precision,default_recall,default_f1
1,193685,55336.0,0.434081693205,0.555208182738,0.487229706692,0.0985346134411,0.0988772183991,0.0987056186275
2,189465,51357.0,0.163682076853,0.755515314368,0.269070206097,0.088700586932,0.0897983275947,0.0892460817959
3,243426,82098.0,0.225381569408,0.295342152062,0.255662167862,0.145252684584,0.14559363674,0.145422960817
4,376059,171658.0,0.388483990492,0.258974239476,0.310776329127,0.305080799143,0.304082437858,0.304580800391
5,391204,203193.0,0.850680473373,0.141505858962,0.242648517045,0.360045809741,0.359247784777,0.359646354572
